DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,MODULE_TEMPERATURE,HOUR,MINUTE
2020-05-15 00:00:00,0.0,0.0,0.0,22.8575074,0,0
2020-05-15 00:15:00,0.0,0.0,0.0,22.76166787,0,15
2020-05-15 00:30:00,0.0,0.0,0.0,22.59230553,0,30
2020-05-15 00:45:00,0.0,0.0,0.0,22.36085213,0,45
2020-05-15 01:00:00,0.0,0.0,0.0,22.16542264,1,0
2020-05-15 01:15:00,0.0,0.0,0.0,21.96857087,1,15
2020-05-15 01:30:00,0.0,0.0,0.0,22.35292567,1,30
2020-05-15 01:45:00,0.0,0.0,0.0,23.1609192,1,45
2020-05-15 02:00:00,0.0,0.0,0.0,23.026113,2,0
2020-05-15 02:15:00,0.0,0.0,0.0,23.34322927,2,15
2020-05-15 02:30:00,0.0,0.0,0.0,23.63945927,2,30
2020-05-15 02:45:00,0.0,0.0,0.0,24.0394858,2,45
2020-05-15 03:00:00,0.0,0.0,0.0,24.38413557,3,0
2020-05-15 03:15:00,0.0,0.0,0.0,24.35150773,3,15
2020-05-15 03:30:00,0.0,0.0,0.0,24.06029653,3,30
2020-05-15 03:45:00,0.0,0.0,0.0,23.70979413,3,45
2020-05-15 04:00:00,0.0,0.0,0.0,22.58994153,4,0
2020-05-15 04:15:00,0.0,0.0,0.0,21.78364253,4,15
2020-05-15 04:30:00,0.0,0.0,0.0,21.85252493,4,30
2020-05-15 04:45:00,0.0,0.0,0.0,22.306315,4,45
2020-05-15 05:00:00,0.0,0.0,0.0,22.55190847,5,0
2020-05-15 05:15:00,0.0,0.0,0.0,22.97949207,5,15
2020-05-15 05:30:00,0.0,0.0,0.0,23.45238047,5,30
2020-05-15 05:45:00,0.0,0.0,0.0,23.09669193,5,45
2020-05-15 06:00:00,37.14285714,3.585714286,0.0,22.2067566,6,0
2020-05-15 06:15:00,278.0,26.8625,2.625,22.35345867,6,15
2020-05-15 06:30:00,626.5714286,60.68571429,13.28571429,22.893282,6,30
2020-05-15 06:45:00,1224.75,119.275,34.875,24.44244393,6,45
2020-05-15 07:00:00,1734.571429,170.0142857,72.71428571,27.18565287,7,0
2020-05-15 07:15:00,1856.375,181.9375,116.25,28.88847786,7,15
2020-05-15 07:30:00,1842.285714,180.5857143,162.4285714,29.6056438,7,30
2020-05-15 07:45:00,1877.875,184.0625,206.375,29.54711093,7,45
2020-05-15 08:00:00,3246.0,318.6714286,263.5714286,31.41254473,8,0
2020-05-15 08:15:00,3917.5,384.8375,359.875,35.5287108,8,15
2020-05-15 08:30:00,4322.0,424.1285714,464.0,40.3180586,8,30
2020-05-15 08:45:00,4257.125,417.7875,556.125,39.08195373,8,45
2020-05-15 09:00:00,5706.714286,559.2285714,688.8571429,45.0092326,9,0
2020-05-15 09:15:00,4015.5,394.0125,811.625,46.6177065,9,15
2020-05-15 09:30:00,3219.285714,315.8857143,886.5714286,39.136326,9,30
2020-05-15 09:45:00,6454.428571,632.3428571,991.4285714,40.93057693,9,45
2020-05-15 10:00:00,6008.375,588.775,1161.25,52.5477356,10,0
2020-05-15 10:15:00,6637.285714,650.0285714,1307.571429,47.633738,10,15
2020-05-15 10:30:00,4399.75,431.875,1440.0,49.24972327,10,30
2020-05-15 10:45:00,4360.571429,428.2285714,1549.0,44.0483256,10,45
2020-05-15 11:00:00,6829.5,668.725,1693.0,47.6854534,11,0
2020-05-15 11:15:00,5969.0,584.7857143,1843.714286,50.00698857,11,15
2020-05-15 11:30:00,6226.125,609.8625,1994.5,49.8413636,11,30
2020-05-15 11:45:00,9420.285714,920.0428571,2155.0,47.8363832,11,45
2020-05-15 12:00:00,8232.5,805.1875,2382.875,49.18358353,12,0
2020-05-15 12:15:00,10546.57143,1030.285714,2614.571429,49.84449267,12,15
2020-05-15 12:30:00,8517.0,832.9625,2860.0,52.35325513,12,30
2020-05-15 12:45:00,8006.285714,783.5571429,3062.0,50.63123993,12,45
2020-05-15 13:00:00,6089.375,596.5625,3223.25,49.61076771,13,0
2020-05-15 13:15:00,6359.714286,623.0428571,3384.857143,47.01116133,13,15
2020-05-15 13:30:00,7588.0,742.9142857,3543.0,46.66986293,13,30
2020-05-15 13:45:00,7471.375,731.5,3726.875,47.51688413,13,45
2020-05-15 14:00:00,9555.0,934.4714286,3936.714286,49.80390433,14,0
2020-05-15 14:15:00,10642.75,1039.35,4191.0,55.030613,14,15
2020-05-15 14:30:00,5429.857143,532.2285714,4398.142857,54.51913673,14,30
2020-05-15 14:45:00,6742.25,659.875,4528.5,47.61819464,14,45
2020-05-15 15:00:00,5920.428571,580.2571429,4697.714286,46.0290812,15,0
2020-05-15 15:15:00,6339.375,620.9875,4840.25,44.28609193,15,15
2020-05-15 15:30:00,6510.0,637.7,5016.142857,46.7442812,15,30
2020-05-15 15:45:00,4694.5,460.0375,5137.75,43.9206158,15,45
2020-05-15 16:00:00,4551.142857,446.5714286,5275.285714,43.33285333,16,0
2020-05-15 16:15:00,4081.25,400.725,5369.125,41.00743193,16,15
2020-05-15 16:30:00,4338.285714,426.0142857,5477.714286,41.28059067,16,30
2020-05-15 16:45:00,3259.625,320.1125,5571.75,39.41907593,16,45
